	tdc		tdd			tdb		tdc	tda	tdc	tdh
48	【河南土特产】大槐树粉条 传统工艺 手工制作 纯红薯粉条	河南手工艺	120	#	Mr.	河南 开封	111111	【河南土特产】大槐树粉条 传统工艺 手工制作 纯红薯粉条	baby_love_family	【河南土特产】大槐树粉条 传统工艺 手工制作 纯红薯粉条	//item.taobao.com/item.htm?id=37183478238&ns=1&abbucket=10#detail
49	[满包邮]中国手工艺 陶瓷烧造 邱耿钰 天猫正版 河南教育出版社	河南手工艺	45.2	#	Mr.	北京	111111	[满包邮]中国手工艺 陶瓷烧造 邱耿钰 天猫正版 河南教育出版社	蒙飞图书专营店	[满包邮]中国手工艺 陶瓷烧造 邱耿钰 天猫正版 河南教育出版社	//detail.tmall.com/item.htm?id=19903319371&ns=1&abbucket=10
50	"HD正版//我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	26.8	#	Mr.	北京	111111	"HD正版//我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	宏坤图书音像专营店	"HD正版//我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=523082863639&ns=1&abbucket=10
51	HD正版//巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	河南手工艺	23.8	#	Mr.	北京	111111	HD正版//巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	宏坤图书音像专营店	HD正版//巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=523166877965&ns=1&abbucket=10
52	中国手工艺：编织与扎制/王连海 著/河南教育出版社	河南手工艺	32.8	#	Mr.	北京	111111	中国手工艺：编织与扎制/王连海 著/河南教育出版社	淘书天下图书专营店	中国手工艺：编织与扎制/王连海 著/河南教育出版社	//detail.tmall.com/item.htm?id=14932013942&ns=1&abbucket=10
53	【正版包邮XK】 儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	河南手工艺	13.3	#	Mr.	北京	111111	【正版包邮XK】 儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	万亿红发图书专营店	【正版包邮XK】 儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	//detail.tmall.com/item.htm?id=524774216481&ns=1&abbucket=10
54	【正版包邮XK】 儿童立体手工:海洋境地(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	河南手工艺	13.3	#	Mr.	北京	111111	【正版包邮XK】 儿童立体手工:海洋境地(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	万亿红发图书专营店	【正版包邮XK】 儿童立体手工:海洋境地(版模切工艺)(附游戏战斗卡) 漫唐堂著  童书 益智游戏 创意手工书 河南科学技术出版社	//detail.tmall.com/item.htm?id=524774260389&ns=1&abbucket=10
55	"包邮新书 组合折纸玩法100招 (日)北条敏彰,何凝一  河南科技 9787534944994  手工/DIY 纸艺"	河南手工艺	23.6	#	Mr.	北京	111111	"包邮新书 组合折纸玩法100招 (日)北条敏彰,何凝一  河南科技 9787534944994  手工/DIY 纸艺"	宏腾创新图书专营店	"包邮新书 组合折纸玩法100招 (日)北条敏彰,何凝一  河南科技 9787534944994  手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524466997858&ns=1&abbucket=10
56	儿童立体手工：走兽王国（*版模切工艺，附游戏战斗卡）/漫唐堂/河南科学技术出版社	河南手工艺	13.2	#	Mr.	北京	111111	儿童立体手工：走兽王国（*版模切工艺，附游戏战斗卡）/漫唐堂/河南科学技术出版社	慧识图书专营店	儿童立体手工：走兽王国（*版模切工艺，附游戏战斗卡）/漫唐堂/河南科学技术出版社	//detail.tmall.com/item.htm?id=523288566899&ns=1&abbucket=10
57	方城石猴护航猴 一帆风顺 河南民俗百年传承手工艺品	河南手工艺	298	#	Mr.	河南 南阳	111111	方城石猴护航猴 一帆风顺 河南民俗百年传承手工艺品	不变的承诺nan	方城石猴护航猴 一帆风顺 河南民俗百年传承手工艺品	//item.taobao.com/item.htm?id=524414494817&ns=1&abbucket=10#detail
58	方城石猴金猴镇宅河南民俗百年传承手工艺品	河南手工艺	58	#	Mr.	河南 南阳	111111	方城石猴金猴镇宅河南民俗百年传承手工艺品	不变的承诺nan	方城石猴金猴镇宅河南民俗百年传承手工艺品	//item.taobao.com/item.htm?id=524425384327&ns=1&abbucket=10#detail
59	CH现货正版/(吉祥剪纸)十二生肖系列丛书戌狗/袁升科  /河南美术出版社/手工/DIY 纸艺	河南手工艺	14.4	#	Mr.	北京	111111	CH现货正版/(吉祥剪纸)十二生肖系列丛书戌狗/袁升科  /河南美术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/(吉祥剪纸)十二生肖系列丛书戌狗/袁升科  /河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524238907411&ns=1&abbucket=10
60	CH现货正版/(吉祥剪纸)十二生肖系列丛书午马/袁升科 /河南美术出版社/手工/DIY 纸艺	河南手工艺	14.4	#	Mr.	北京	111111	CH现货正版/(吉祥剪纸)十二生肖系列丛书午马/袁升科 /河南美术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/(吉祥剪纸)十二生肖系列丛书午马/袁升科 /河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524266410727&ns=1&abbucket=10
