	tdc		tdd			tdb		tdc	tda	tdc	tdh
1225	中国手工艺 家具制作 畅销书籍 正版 9787534754494 河南教育出版社 吕军等	河南手工艺	28.5	#	Mr.	四川 成都	111111	中国手工艺 家具制作 畅销书籍 正版 9787534754494 河南教育出版社 吕军等	朵儿图书专营店	中国手工艺 家具制作 畅销书籍 正版 9787534754494 河南教育出版社 吕军等	//detail.tmall.com/item.htm?id=44541883280&ns=1&abbucket=10
1226	河南土特产/信阳特产/空心贡面2000g传统工艺手工制作 限区包邮	河南手工艺	55	#	Mr.	河南 郑州	111111	河南土特产/信阳特产/空心贡面2000g传统工艺手工制作 限区包邮	不爱吃草的驴	河南土特产/信阳特产/空心贡面2000g传统工艺手工制作 限区包邮	//item.taobao.com/item.htm?id=521814027977&ns=1&abbucket=10#detail
1227	玩转组合折纸:绚丽多面体 正版 图书 纸艺 手工 diy 河南科技	河南手工艺	27.06	#	Mr.	河南 郑州	111111	玩转组合折纸:绚丽多面体 正版 图书 纸艺 手工 diy 河南科技	河南科技旗舰店	玩转组合折纸:绚丽多面体 正版 图书 纸艺 手工 diy 河南科技	//detail.tmall.com/item.htm?id=14649855743&ns=1&abbucket=10
1228	135款怀旧风剪纸和旋转吊饰 9787534975578  原价:28元 〔日〕宝库社著；于勇 河南科学技术出版社  手工/DIY 纸艺	河南手工艺	24.08	#	Mr.	北京	111111	135款怀旧风剪纸和旋转吊饰 9787534975578  原价:28元 〔日〕宝库社著；于勇 河南科学技术出版社  手工/DIY 纸艺	学海启航图书专营店	135款怀旧风剪纸和旋转吊饰 9787534975578  原价:28元 〔日〕宝库社著；于勇 河南科学技术出版社  手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524659754870&ns=1&abbucket=10
1229	吉祥三角片组合折纸 9787534975110  原价:29元 罗百胜 河南科学技术出版社  手工/DIY 纸艺	河南手工艺	24.94	#	Mr.	北京	111111	吉祥三角片组合折纸 9787534975110  原价:29元 罗百胜 河南科学技术出版社  手工/DIY 纸艺	学海启航图书专营店	吉祥三角片组合折纸 9787534975110  原价:29元 罗百胜 河南科学技术出版社  手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524628215899&ns=1&abbucket=10
1230	"正版！《儿童立体手工：走兽王国（最新版模切工艺,附游戏战斗卡） 》漫唐堂,河南科学技术出版社"	河南手工艺	15	#	Mr.	天津	111111	"正版！《儿童立体手工：走兽王国（最新版模切工艺,附游戏战斗卡） 》漫唐堂,河南科学技术出版社"	海兴博雅图书专营店	"正版！《儿童立体手工：走兽王国（最新版模切工艺,附游戏战斗卡） 》漫唐堂,河南科学技术出版社"	//detail.tmall.com/item.htm?id=43944265639&ns=1&abbucket=10
1231	"正版！《中国手工艺：文房四宝》樊嘉禄,方晓阳,吴丹彤,河南教育出版社"	河南手工艺	49	#	Mr.	天津	111111	"正版！《中国手工艺：文房四宝》樊嘉禄,方晓阳,吴丹彤,河南教育出版社"	海兴博雅图书专营店	"正版！《中国手工艺：文房四宝》樊嘉禄,方晓阳,吴丹彤,河南教育出版社"	//detail.tmall.com/item.htm?id=44012308333&ns=1&abbucket=10
1232	手工diy图书/流行中国结艺 吉祥喜庆篇/邱丽华/河南科学技术出版	河南手工艺	11.48	#	Mr.	上海	111111	手工diy图书/流行中国结艺 吉祥喜庆篇/邱丽华/河南科学技术出版	showsun520	手工diy图书/流行中国结艺 吉祥喜庆篇/邱丽华/河南科学技术出版	//item.taobao.com/item.htm?id=520039192083&ns=1&abbucket=10#detail
1233	建筑学博士的动物折纸 正版 图书 折纸 纸艺 手工 益智 河南科技	河南手工艺	23.1	#	Mr.	河南 郑州	111111	建筑学博士的动物折纸 正版 图书 折纸 纸艺 手工 益智 河南科技	河南科技旗舰店	建筑学博士的动物折纸 正版 图书 折纸 纸艺 手工 益智 河南科技	//detail.tmall.com/item.htm?id=13060361908&ns=1&abbucket=10
1234	【正版书籍】超可爱的三角片组合折纸 罗百胜  手工/DIY 纸艺 河南科学技术出版社	河南手工艺	21.2	#	Mr.	北京	111111	【正版书籍】超可爱的三角片组合折纸 罗百胜  手工/DIY 纸艺 河南科学技术出版社	万亿红发图书专营店	【正版书籍】超可爱的三角片组合折纸 罗百胜  手工/DIY 纸艺 河南科学技术出版社	//detail.tmall.com/item.htm?id=523244621828&ns=1&abbucket=10
1235	黑纱帽 舞龙舞狮道具戏剧用品；地区民间特色手工艺河南省	河南手工艺	45	#	Mr.	河南 许昌	111111	黑纱帽 舞龙舞狮道具戏剧用品；地区民间特色手工艺河南省	中州戏具厂	黑纱帽 舞龙舞狮道具戏剧用品；地区民间特色手工艺河南省	//item.taobao.com/item.htm?id=26586068720&ns=1&abbucket=10#detail
1236	戏剧服装男莽女莽厂家直销地区民间特色手工艺河南省	河南手工艺	150	#	Mr.	河南 许昌	111111	戏剧服装男莽女莽厂家直销地区民间特色手工艺河南省	中州戏具厂	戏剧服装男莽女莽厂家直销地区民间特色手工艺河南省	//item.taobao.com/item.htm?id=35138485090&ns=1&abbucket=10#detail
1237	河南民间工艺十家珍品鉴赏 程健君 正版手工书籍diy书教程书 大象	河南手工艺	136	#	Mr.	四川 成都	111111	河南民间工艺十家珍品鉴赏 程健君 正版手工书籍diy书教程书 大象	秒充之家	河南民间工艺十家珍品鉴赏 程健君 正版手工书籍diy书教程书 大象	//item.taobao.com/item.htm?id=522945650631&ns=1&abbucket=10#detail
1238	流行中国结艺 心动篇 林荣丰 正版手工书籍diy书教程书 河南科学	河南手工艺	14.7	#	Mr.	四川 成都	111111	流行中国结艺 心动篇 林荣丰 正版手工书籍diy书教程书 河南科学	秒充之家	流行中国结艺 心动篇 林荣丰 正版手工书籍diy书教程书 河南科学	//item.taobao.com/item.htm?id=522925187523&ns=1&abbucket=10#detail
1239	厂家传统技艺制作手工工艺煤烧钧瓷五供瓶河南禹州神垕苗宗贤制	河南手工艺	500	#	Mr.	河南 许昌	111111	厂家传统技艺制作手工工艺煤烧钧瓷五供瓶河南禹州神垕苗宗贤制	冬雨雪韵	厂家传统技艺制作手工工艺煤烧钧瓷五供瓶河南禹州神垕苗宗贤制	//item.taobao.com/item.htm?id=41874918463&ns=1&abbucket=10#detail
1240	传统技艺制作手工工艺煤烧钧瓷荷叶口花瓶河南禹州神垕苗宗贤制	河南手工艺	400	#	Mr.	河南 许昌	111111	传统技艺制作手工工艺煤烧钧瓷荷叶口花瓶河南禹州神垕苗宗贤制	冬雨雪韵	传统技艺制作手工工艺煤烧钧瓷荷叶口花瓶河南禹州神垕苗宗贤制	//item.taobao.com/item.htm?id=41874874362&ns=1&abbucket=10#detail
1241	传统手工艺数十味名贵中药材烹制河南特产4只礼盒装薛记道口烧鸡	河南手工艺	175	#	Mr.	河南 安阳	111111	传统手工艺数十味名贵中药材烹制河南特产4只礼盒装薛记道口烧鸡	薛记道口烧鸡	传统手工艺数十味名贵中药材烹制河南特产4只礼盒装薛记道口烧鸡	//item.taobao.com/item.htm?id=17979431089&ns=1&abbucket=10#detail
1242	采用传统手工艺加数十味名贵中药材烹制河南特产薛记正宗道口烧鸡	河南手工艺	48	#	Mr.	河南 安阳	111111	采用传统手工艺加数十味名贵中药材烹制河南特产薛记正宗道口烧鸡	薛记道口烧鸡	采用传统手工艺加数十味名贵中药材烹制河南特产薛记正宗道口烧鸡	//item.taobao.com/item.htm?id=20846408355&ns=1&abbucket=10#detail
1243	河南信阳毛尖雨前茶纯天然、茶农手工（种植、采摘、炒制）纯工艺	河南手工艺	30	#	Mr.	河南 信阳	111111	河南信阳毛尖雨前茶纯天然、茶农手工（种植、采摘、炒制）纯工艺	葶葶汩立	河南信阳毛尖雨前茶纯天然、茶农手工（种植、采摘、炒制）纯工艺	//item.taobao.com/item.htm?id=38753514867&ns=1&abbucket=10#detail
1244	民间工艺品 民间手工艺品 河南[陈州]淮阳泥泥狗 人祖猴骑虎	河南手工艺	58	#	Mr.	河南 周口	111111	民间工艺品 民间手工艺品 河南[陈州]淮阳泥泥狗 人祖猴骑虎	七彩星空_2008	民间工艺品 民间手工艺品 河南[陈州]淮阳泥泥狗 人祖猴骑虎	//item.taobao.com/item.htm?id=523207273435&ns=1&abbucket=10#detail
1245	河南民间特色手工艺品 泥人	河南手工艺	60	#	Mr.	河南 濮阳	111111	河南民间特色手工艺品 泥人	岸芷汀兰8876	河南民间特色手工艺品 泥人	//item.taobao.com/item.htm?id=40568464810&ns=1&abbucket=10#detail
1246	河南民间特色手工艺品 泥塑黄色小老虎	河南手工艺	10	#	Mr.	河南 濮阳	111111	河南民间特色手工艺品 泥塑黄色小老虎	岸芷汀兰8876	河南民间特色手工艺品 泥塑黄色小老虎	//item.taobao.com/item.htm?id=40567752303&ns=1&abbucket=10#detail
1247	方底毛头鞋 纯手工缝制而成 河南民间特色手工艺品 使用收藏皆宜	河南手工艺	290	#	Mr.	北京	111111	方底毛头鞋 纯手工缝制而成 河南民间特色手工艺品 使用收藏皆宜	大戚青叶	方底毛头鞋 纯手工缝制而成 河南民间特色手工艺品 使用收藏皆宜	//item.taobao.com/item.htm?id=12425820788&ns=1&abbucket=10#detail
1248	河南华宇 浩宇漆包线 铜漆包线 铝漆包线 环保线  高温线手工艺线	河南手工艺	22	#	Mr.	山东 济南	111111	河南华宇 浩宇漆包线 铜漆包线 铝漆包线 环保线  高温线手工艺线	ccyyla	河南华宇 浩宇漆包线 铜漆包线 铝漆包线 环保线  高温线手工艺线	//item.taobao.com/item.htm?id=40140777866&ns=1&abbucket=10#detail
1249	年货河南特产焦作云台山五里源纯手工艺制作无铅松花蛋皮蛋变蛋	河南手工艺	1.6	#	Mr.	河南 焦作	111111	年货河南特产焦作云台山五里源纯手工艺制作无铅松花蛋皮蛋变蛋	您需要的66	年货河南特产焦作云台山五里源纯手工艺制作无铅松花蛋皮蛋变蛋	//item.taobao.com/item.htm?id=43283710294&ns=1&abbucket=10#detail
1250	私人订制 中国结大号 河南特色手工艺品 双面扇形吉祥如意玉福	河南手工艺	600	#	Mr.	河南 郑州	111111	私人订制 中国结大号 河南特色手工艺品 双面扇形吉祥如意玉福	zangkl	私人订制 中国结大号 河南特色手工艺品 双面扇形吉祥如意玉福	//item.taobao.com/item.htm?id=45834917818&ns=1&abbucket=10#detail
1251	河南特色礼品 外事礼品 手工艺 泥塑 浚县泥沽沽十二生肖 礼盒装	河南手工艺	168	#	Mr.	河南 郑州	111111	河南特色礼品 外事礼品 手工艺 泥塑 浚县泥沽沽十二生肖 礼盒装	一涵工艺品	河南特色礼品 外事礼品 手工艺 泥塑 浚县泥沽沽十二生肖 礼盒装	//item.taobao.com/item.htm?id=13449044795&ns=1&abbucket=10#detail
1252	河南特色礼品  送老外 送孩子 地方手工艺 泥塑 浚县泥沽沽礼盒装	河南手工艺	80	#	Mr.	河南 郑州	111111	河南特色礼品  送老外 送孩子 地方手工艺 泥塑 浚县泥沽沽礼盒装	一涵工艺品	河南特色礼品  送老外 送孩子 地方手工艺 泥塑 浚县泥沽沽礼盒装	//item.taobao.com/item.htm?id=13008891001&ns=1&abbucket=10#detail
1253	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	河南手工艺	359	#	Mr.	云南 昆明	111111	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	真格格2013	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	//item.taobao.com/item.htm?id=44790358692&ns=1&abbucket=10#detail
1254	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=20500975396&ns=1&abbucket=10#detail
1255	ZH 新华畅销书籍 现货包邮 戌狗-吉祥剪纸 袁升科   河南美术出版社 手工/DIY 纸艺	河南手工艺	14	#	Mr.	北京	111111	ZH 新华畅销书籍 现货包邮 戌狗-吉祥剪纸 袁升科   河南美术出版社 手工/DIY 纸艺	众合宏达图书专营店	ZH 新华畅销书籍 现货包邮 戌狗-吉祥剪纸 袁升科   河南美术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524848940752&ns=1&abbucket=10
1256	ZH 新华畅销书籍 现货包邮 午马-吉祥剪纸 袁升科  河南美术出版社 手工/DIY 纸艺	河南手工艺	14	#	Mr.	北京	111111	ZH 新华畅销书籍 现货包邮 午马-吉祥剪纸 袁升科  河南美术出版社 手工/DIY 纸艺	众合宏达图书专营店	ZH 新华畅销书籍 现货包邮 午马-吉祥剪纸 袁升科  河南美术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524837525998&ns=1&abbucket=10
1257	"W正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	26.8	#	Mr.	北京	111111	"W正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	博文图书专营店	"W正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524837679953&ns=1&abbucket=10
1258	W正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	28.4	#	Mr.	北京	111111	W正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	W正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524883828143&ns=1&abbucket=10
1259	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3800	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=20500867789&ns=1&abbucket=10#detail
1260	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	400	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=25099080009&ns=1&abbucket=10#detail
1261	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=18432318945&ns=1&abbucket=10#detail
1262	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=25098836629&ns=1&abbucket=10#detail
1263	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=20533567355&ns=1&abbucket=10#detail
1264	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3800	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=20500987025&ns=1&abbucket=10#detail
1265	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	//item.taobao.com/item.htm?id=18418121987&ns=1&abbucket=10#detail
1266	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=18408306858&ns=1&abbucket=10#detail
1267	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=18432406196&ns=1&abbucket=10#detail
1268	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	400	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=20533559798&ns=1&abbucket=10#detail
1269	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	河南手工艺	800	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 五大名窑 钧窑	//item.taobao.com/item.htm?id=25098612542&ns=1&abbucket=10#detail
1270	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=18423737930&ns=1&abbucket=10#detail
1271	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 钧窑陶瓷茶壶 全手工作品	//item.taobao.com/item.htm?id=18403170245&ns=1&abbucket=10#detail
1272	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	//item.taobao.com/item.htm?id=20533635721&ns=1&abbucket=10#detail
1273	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	河南手工艺	600	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧 精品手工陶瓷茶杯 手捏大杯 钧窑	//item.taobao.com/item.htm?id=20533639774&ns=1&abbucket=10#detail
1274	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3800	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=20500871872&ns=1&abbucket=10#detail
1275	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3800	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=18423877419&ns=1&abbucket=10#detail
1276	天然鸵鸟蛋蛋壳手工艺品制作图片各种简单手工艺品制作河南周口市	河南手工艺	49.9	#	Mr.	河北 石家庄	111111	天然鸵鸟蛋蛋壳手工艺品制作图片各种简单手工艺品制作河南周口市	线线儿姐姐	天然鸵鸟蛋蛋壳手工艺品制作图片各种简单手工艺品制作河南周口市	//item.taobao.com/item.htm?id=521548669455&ns=1&abbucket=10#detail
1277	今年新品鸵鸟蛋壳手工艺品制作儿童手工艺品制作教程河南驻马店	河南手工艺	49.9	#	Mr.	河北 石家庄	111111	今年新品鸵鸟蛋壳手工艺品制作儿童手工艺品制作教程河南驻马店	线线儿姐姐	今年新品鸵鸟蛋壳手工艺品制作儿童手工艺品制作教程河南驻马店	//item.taobao.com/item.htm?id=521554922716&ns=1&abbucket=10#detail
1278	天然鸵鸟蛋蛋壳简单的手工艺品制作废品制作手工艺品 河南信阳	河南手工艺	49.9	#	Mr.	河北 石家庄	111111	天然鸵鸟蛋蛋壳简单的手工艺品制作废品制作手工艺品 河南信阳	线线儿姐姐	天然鸵鸟蛋蛋壳简单的手工艺品制作废品制作手工艺品 河南信阳	//item.taobao.com/item.htm?id=521538975469&ns=1&abbucket=10#detail
1279	"W正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	31.3	#	Mr.	北京	111111	"W正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	博文图书专营店	"W正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524714832565&ns=1&abbucket=10
1280	W正版/纸有创意最动人：美妙的装饰节庆折纸/〔日〕小林一夫； 甄冬梅/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	33.5	#	Mr.	北京	111111	W正版/纸有创意最动人：美妙的装饰节庆折纸/〔日〕小林一夫； 甄冬梅/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	W正版/纸有创意最动人：美妙的装饰节庆折纸/〔日〕小林一夫； 甄冬梅/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524724488336&ns=1&abbucket=10
1281	WR现货正版/最实用的主题衍纸贺卡/〔美〕西莉亚路易；贺爱平/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	30.7	#	Mr.	北京	111111	WR现货正版/最实用的主题衍纸贺卡/〔美〕西莉亚路易；贺爱平/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	WR现货正版/最实用的主题衍纸贺卡/〔美〕西莉亚路易；贺爱平/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524138133856&ns=1&abbucket=10
1282	WR现货正版/亲子互动折纸大全/〔日〕石川真理子；江景丽/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	30.7	#	Mr.	北京	111111	WR现货正版/亲子互动折纸大全/〔日〕石川真理子；江景丽/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	WR现货正版/亲子互动折纸大全/〔日〕石川真理子；江景丽/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524148168360&ns=1&abbucket=10
1283	HD正版//一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	19.5	#	Mr.	北京	111111	HD正版//一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	宏坤图书音像专营店	HD正版//一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=523205452823&ns=1&abbucket=10
1284	HR现货正版//吉祥三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	24.1	#	Mr.	北京	111111	HR现货正版//吉祥三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	宏坤图书音像专营店	HR现货正版//吉祥三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524420633168&ns=1&abbucket=10
1285	ZH 新华畅销书籍 现货包邮 吉祥三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	河南手工艺	25	#	Mr.	北京	111111	ZH 新华畅销书籍 现货包邮 吉祥三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	众合宏达图书专营店	ZH 新华畅销书籍 现货包邮 吉祥三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524514533665&ns=1&abbucket=10
1286	ZH 新华畅销书籍 现货包邮 超可爱的三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	河南手工艺	25	#	Mr.	北京	111111	ZH 新华畅销书籍 现货包邮 超可爱的三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	众合宏达图书专营店	ZH 新华畅销书籍 现货包邮 超可爱的三角片组合折纸 罗百胜 河南科学技术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524525152233&ns=1&abbucket=10
1287	CH现货正版/超可爱的三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	19.7	#	Mr.	北京	111111	CH现货正版/超可爱的三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/超可爱的三角片组合折纸/罗百胜/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524046631767&ns=1&abbucket=10
1288	CH现货正版/一起动手做昆虫折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	14.5	#	Mr.	北京	111111	CH现货正版/一起动手做昆虫折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/一起动手做昆虫折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524091935066&ns=1&abbucket=10
1289	CH现货正版/一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	14.5	#	Mr.	北京	111111	CH现货正版/一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/一起动手做濒危动物折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524128348310&ns=1&abbucket=10
